Reported trait,id,PubMed ID,M_or,M_m,M_ldpred,k,h2_est,p_est
Intelligence,GA3413,31427789,9561902,1075356,1003971,30,0.2715276087157612,0.022217785833182457
Reaction time,GA3415,31427789,10599054,1075357,1003942,30,0.08876717858854495,0.02426538018423985
Bipolar/Major depression,GA3416,31427789,9337888,1075351,1005069,30,0.07709140690366142,0.006338384317740843
Neuroticism,GA3417,31427789,10399545,1075357,1003947,30,0.11122878118621655,0.01881679156358891
Fluid intelligence test - Number of fluid intelligence questions attempted within time limit,GA3418,31427789,9561902,1075356,1003974,30,0.14096515671893853,0.015075629844961237
Pairs matching test - Number of correct matches in round,GA3419,31427789,9354853,1075351,1003985,4,0.0022089330233682493,0.0015091676544226648
Pairs matching test - Number of incorrect matches in round,GA3420,31427789,9354853,1075351,1003990,23,0.023328893571093894,0.0037332368054885266
Pairs matching test - Time to complete round,GA3421,31427789,9336150,1075350,1003969,28,0.04582625935546084,0.0049326996630538675
Trail making test - Duration to complete numeric path (trail #1),GA3422,31427789,9267643,1075349,1003973,23,0.046278156199219864,0.004708319414908149
Trail making test - Duration to complete alphanumeric path (trail #2),GA3423,31427789,9267643,1075349,1003965,30,0.11643043576365417,0.008606732642400432
Symbol digit substitution test - Number of symbol digit matches made correctly,GA3424,31427789,9354853,1075351,1003961,30,0.12159278159073089,0.010429120688655327
Ever vs never smokers,GA3425,31427789,10599054,1075357,1004835,30,0.08540950856667193,0.018743393996868085
Fluid intelligence test - FI4 : positional arithmetic,GA3427,31427789,9377412,1075353,1003468,9,0.0759812663540418,0.0033738302203068743
Fluid intelligence test - Fluid intelligence score,GA3431,31427789,9382912,1075353,1003967,30,0.18404935056315336,0.013599449790376469
Symbol digit substitution test - Number of symbol digit matches attempted,GA3432,31427789,9354853,1075351,1003967,30,0.13634010971142352,0.011402691047134546
Symbol digit substitution test - Duration to entering value,GA3433,31427789,9356415,1075351,1003970,21,0.024915572915212486,0.0040688137064021105
Numeric memory test - Maximum digits remembered correctly,GA3434,31427789,9309858,1075350,1003985,30,0.11247528648511851,0.009085991554004427
Weight,GA3436,31427789,10599054,1075357,1003943,30,0.30680984939275924,0.03511701608932746
Doctor diagnosed hayfever or allergic rhinitis,GA3437,31427789,9368598,1075352,1003757,30,0.1029008647305374,0.002555272008316962
Asthma,GA3438,31427789,9368597,1075352,1003459,30,0.1153128253823871,0.0013655708843690437
Tobacco smoking,GA3439,31427789,9365168,1075352,1003976,30,0.07737160946769081,0.007076499381943808
Impedance measures - Weight,GA3440,31427789,10589580,1075357,1003946,30,0.30690859913434576,0.03473991334992267
Impedance measures - Body fat percentage,GA3441,31427789,10588653,1075357,1003948,30,0.2570023952921281,0.034601430638189414
Impedance measures - Whole body fat mass,GA3442,31427789,10579925,1075357,1003950,30,0.26340665655046863,0.03390176893889494
Impedance measures - Whole body fat-free mass,GA3443,31427789,10589580,1075357,1003953,30,0.36661696032527924,0.03158999145976692
Impedance measures - Whole body water mass,GA3444,31427789,10589580,1075357,1003960,30,0.36532591315560115,0.031639339042423234
Impedance measures - Body mass index (BMI),GA3445,31427789,10589580,1075357,1003960,30,0.24963962497946135,0.029029606519022866
Impedance measures - Basal metabolic rate,GA3446,31427789,10589580,1075357,1003947,30,0.3451605778119796,0.031969417913704556
Impedance measures - Impedance of whole body,GA3447,31427789,10589580,1075357,1003952,30,0.2735820204451587,0.025969827009793764
Impedance measures - Impedance of leg (right),GA3448,31427789,10589580,1075357,1003941,30,0.25608171777894273,0.024320064256472294
Impedance measures - Impedance of leg (left),GA3449,31427789,10589580,1075357,1003950,30,0.2574206719231945,0.024618864791101376
Impedance measures - Impedance of arm (right),GA3450,31427789,10589580,1075357,1003943,30,0.23480171195197724,0.023960678941212368
Impedance measures - Impedance of arm (left),GA3451,31427789,10589580,1075357,1003956,30,0.24209641494697764,0.02460011244638805
Impedance measures - Leg fat percentage (right),GA3452,31427789,10589580,1075357,1003960,30,0.25062562205218264,0.03441248763335414
Impedance measures - Leg fat mass (right),GA3453,31427789,10589580,1075357,1003951,30,0.23507269763531374,0.031227103023236988
Impedance measures - Leg fat-free mass (right),GA3454,31427789,10589580,1075357,1003945,30,0.3130484324627041,0.029636673977281414
Impedance measures - Leg predicted mass (right),GA3455,31427789,10589580,1075357,1003953,30,0.3131617300937304,0.02962895325387683
Impedance measures - Leg fat percentage (left),GA3456,31427789,10589580,1075357,1003951,30,0.2515029375602651,0.03439409815021524
Impedance measures - Leg fat mass (left),GA3457,31427789,10589580,1075357,1003953,30,0.235111687440487,0.031047904384666855
Impedance measures - Leg fat-free mass (left),GA3458,31427789,10589580,1075357,1003949,30,0.31014464733508984,0.030080851287451082
Impedance measures - Leg predicted mass (left),GA3459,31427789,10589580,1075357,1003946,30,0.3099584779591372,0.030008940528037268
Impedance measures - Arm fat percentage (right),GA3460,31427789,10589580,1075357,1003957,30,0.23350464107215158,0.03113999399369403
Impedance measures - Arm fat mass (right),GA3461,31427789,10589580,1075357,1003945,30,0.22140201928632658,0.028313930330577608
Impedance measures - Arm fat-free mass (right),GA3462,31427789,10589580,1075357,1003957,30,0.31383826045682484,0.02991188694564649
Impedance measures - Arm predicted mass (right),GA3463,31427789,10589580,1075357,1003949,30,0.3127240830553317,0.029738260259385217
Impedance measures - Arm fat percentage (left),GA3464,31427789,10589580,1075357,1003949,30,0.23680955953279278,0.03112860697434392
Impedance measures - Arm fat mass (left),GA3465,31427789,10589580,1075357,1003948,30,0.2171140831473636,0.027966465396168236
Impedance measures - Arm fat-free mass (left),GA3466,31427789,10588913,1075357,1003959,30,0.315682519439313,0.03058502917375165
Impedance measures - Arm predicted mass (left),GA3467,31427789,10588672,1075357,1003949,30,0.315750911534207,0.03059441713040318
Impedance measures - Trunk fat percentage,GA3468,31427789,10588630,1075357,1003954,30,0.2477351917106173,0.034038473369456576
Impedance measures - Trunk fat mass,GA3469,31427789,10588593,1075357,1003948,30,0.27365027708456746,0.035487080979246965
Impedance measures - Trunk fat-free mass,GA3470,31427789,10588231,1075357,1003946,30,0.37935919550244673,0.031002160020246708
Impedance measures - Trunk predicted mass,GA3471,31427789,10587689,1075357,1003946,30,0.3774263685777787,0.030986414566886195
Age at cancer diagnosis,GA3472,31427789,9077725,1075328,1003935,7,0.0034272702298864567,0.0013126574763038842
Reported occurrences of cancer,GA3473,31427789,9077725,1075328,1003936,3,0.004523073561172318,3.6865959180521683e-4
Type of accommodation lived in: A house or bungalow,GA3474,31427789,10599054,1075357,1010493,27,0.03239473150103295,0.006811836723733941
"Type of accommodation lived in: A flat, maisonette or apartment",GA3475,31427789,10599054,1075357,1010505,25,0.031863723318218656,0.006569685650206154
Own or rent accommodation lived in: Own outright (by you or someone in your household),GA3476,31427789,10589580,1075357,1010420,30,0.029625565234243735,0.012453218614356325
Own or rent accommodation lived in: Own with a mortgage,GA3477,31427789,10589580,1075357,1010267,28,0.01404799269933954,0.006446540613562391
"Own or rent accommodation lived in: Rent - from local authority, local council, housing association",GA3478,31427789,10589020,1075357,1010499,30,0.15233012772111013,0.014056065424810301
Own or rent accommodation lived in: Rent - from private landlord or letting agency,GA3479,31427789,10582248,1075357,1004711,27,0.13435550733339988,0.008464305598134016
Milk type used: Full cream,GA3480,31427789,10570691,1075357,1004167,30,0.0707789866005358,0.006113713882431716
Milk type used: Semi-skimmed,GA3481,31427789,10570778,1075357,1003799,26,0.01249420906842312,0.005185470242996022
Milk type used: Skimmed,GA3482,31427789,10570778,1075357,1004389,30,0.032306118726280766,0.007573101128879144
Milk type used: Soya,GA3483,31427789,10568091,1075357,1003555,29,0.11512932440741651,0.006730528135211906
Spread type: Butter/spreadable butter,GA3484,31427789,10490463,1075357,1004011,30,0.04250842946889863,0.011248339786937237
Bread type: White,GA3485,31427789,10570778,1075357,1005417,30,0.07424804768242574,0.016459639876433854
Bread type: Brown,GA3486,31427789,10570778,1075357,1003288,29,0.04185876493396748,0.007948018189522395
Bread type: Wholemeal or wholegrain,GA3487,31427789,10570778,1075357,1005061,30,0.0534304906604706,0.014804121886664119
Cereal type: Bran cereal,GA3488,31427789,10415538,1075357,1003258,23,0.018304308295433842,0.0040654143960194
Cereal type: Biscuit cereal,GA3489,31427789,10415538,1075357,1003658,26,0.028914188104878474,0.005933991684505511
Cereal type: Oat cereal,GA3490,31427789,10415538,1075357,1004221,30,0.025869041506370708,0.0072773682679440664
Cereal type: Muesli,GA3491,31427789,10415538,1075357,1004445,30,0.08572236084253698,0.01712869375690741
Coffee type: Decaffeinated coffee,GA3492,31427789,10367817,1075357,1004301,29,0.028670382112024946,0.006452798520364038
Coffee type: Instant coffee,GA3493,31427789,10367817,1075357,1004865,30,0.03874270286194357,0.011290213679404904
Coffee type: Ground coffee,GA3494,31427789,10367817,1075357,1005918,30,0.10110987197070931,0.01831585759523089
Hair colour: Blonde,GA3495,31427789,10599015,1075357,1003587,30,0.33022676421568037,0.002181101864398481
Hair colour: Red,GA3496,31427789,10594432,1075357,1003140,30,0.9522691996150354,2.0860989986970778e-4
Hair colour: Light brown,GA3497,31427789,10599054,1075357,1003348,30,0.09809372713008077,0.008058608323880785
Hair colour: Dark brown,GA3498,31427789,10599054,1075357,1003471,30,0.2255912854205036,0.008458369516862529
Bald Pattern 1,GA3500,31427789,9851898,1075356,1003809,30,0.25246789370658984,0.0036946061285122495
Bald Pattern 2,GA3501,31427789,9851898,1075356,1003800,30,0.07474070677752143,0.0015418401652322739
Bald Pattern 3,GA3502,31427789,9851898,1075356,1004171,30,0.058700806241167545,0.001247812733049282
Bald Pattern 4,GA3503,31427789,9851898,1075356,1003635,30,0.32670872592039235,0.00342624917938995
Non-butter spread type details: Flora Pro-Active or Benecol,GA3504,31427789,9971636,1075357,1004644,20,0.019870850876310388,9.8462170526543e-4
Non-butter spread type details: Soft (tub) margarine,GA3505,31427789,9971636,1075357,1005041,23,0.057501949482707156,0.005808915013027019
Non-butter spread type details: Olive oil based spread,GA3506,31427789,9971636,1075357,1003844,24,0.01470071255129322,0.0033729712146583083
Non-butter spread type details: Polyunsaturated/sunflower oil based spread,GA3507,31427789,9971636,1075357,1003461,19,0.008885198051771313,0.0029116273718222375
Non-butter spread type details: Other low or reduced fat spread,GA3508,31427789,9971635,1075357,1003581,10,0.02053206251678062,0.001774529275911917
Reason for reducing amount of alcohol drunk: Illness or ill health,GA3509,31427789,9665500,1075356,1003417,10,0.02767613887659395,0.0020891409474504035
Reason for reducing amount of alcohol drunk: Health precaution,GA3510,31427789,9665724,1075356,1004091,30,0.04587038749583422,0.006492043040404593
Reason for reducing amount of alcohol drunk: Other reason,GA3511,31427789,9665724,1075356,1004802,30,0.044944642357094514,0.007114382592244475
Type of tobacco previously smoked: Manufactured cigarettes,GA3512,31427789,9352990,1075351,1006317,18,0.04326407416753593,0.0032648546757371136
Gas or solid-fuel cooking/heating: A gas hob or gas cooker,GA3513,31427789,10599054,1075357,1004280,8,0.004094546011604408,0.0027030000313411325
Gas or solid-fuel cooking/heating: A gas fire that you use regularly in winter time,GA3514,31427789,10599054,1075357,1006052,25,0.01498886222993365,0.0074111217183844644
Gas or solid-fuel cooking/heating: An open solid fuel fire that you use regularly in winter time,GA3515,31427789,10599013,1075357,1004434,30,0.051270439873473544,0.007399587750294637
"How are people in household related to participant: Husband, wife or partner",GA3517,31427789,10399539,1075357,1006583,21,0.036835166966696774,0.004900663003086369
How are people in household related to participant: Son and/or daughter,GA3518,31427789,10399545,1075357,1010347,23,0.00935344679795704,0.0032104117776948567
Current employment status: In paid employment or self-employed,GA3519,31427789,10599054,1075357,1010270,28,0.011671780871346911,0.0052580793919493555
Current employment status: Retired,GA3520,31427789,10599054,1075357,1006771,23,0.009681735772133259,0.004540899160832024
Current employment status: Looking after home and/or family,GA3521,31427789,10598537,1075357,1005543,11,0.03105156281051542,0.0028723096337867422
Current employment status: Unable to work because of sickness or disability,GA3522,31427789,10593982,1075357,1005589,30,0.1044869427035243,0.0068669630151615875
Current employment status: Doing unpaid or voluntary work,GA3523,31427789,10595255,1075357,1003705,19,0.057622407751722976,0.004576995118245413
Transport type for commuting to job workplace: Car/motor vehicle,GA3524,31427789,9990728,1075357,1009049,19,0.031202074302766874,0.005285477483722196
Transport type for commuting to job workplace: Walk,GA3525,31427789,9990728,1075357,1005524,22,0.0240727403449697,0.0036970641036076666
Transport type for commuting to job workplace: Public transport,GA3526,31427789,9990728,1075357,1008185,27,0.0356753660961007,0.0056432896147217025
Transport type for commuting to job workplace: Cycle,GA3527,31427789,9990709,1075357,1005915,30,0.12555862008493496,0.008229417957756202
"Never eat eggs, dairy, wheat, sugar: Eggs or foods containing eggs",GA3528,31427789,10577301,1075357,1003173,20,0.10280220520317676,0.005154105421663155
"Never eat eggs, dairy, wheat, sugar: Wheat products",GA3529,31427789,10582268,1075357,1003226,30,0.012314182846967477,1.3857869587427314e-5
"Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar",GA3530,31427789,10599054,1075357,1004683,30,0.07223820464370229,0.014170264052799473
"Never eat eggs, dairy, wheat, sugar: I eat all of the above",GA3531,31427789,10599054,1075357,1004721,30,0.06598849237542595,0.013903338668379742
"Mental health: Serious illness, injury or assault to yourself",GA3532,31427789,10599051,1075357,1003439,29,0.03847179903040793,0.006830657340678186
"Mental health: Serious illness, injury or assault of a close relative",GA3533,31427789,10599054,1075357,1003810,27,0.025746227431232477,0.005565282455565607
Mental health: Death of a close relative,GA3534,31427789,10599054,1075357,1003218,11,0.0127353503254063,0.003932410447426552
Mental health: Marital separation/divorce,GA3535,31427789,10590423,1075357,1003873,12,0.03437093563376168,0.0024046725669956493
Mental health: Financial difficulties,GA3536,31427789,10599054,1075357,1006475,30,0.07022996689319316,0.010595233768214685
Disability living allowance,GA3537,31427789,10595927,1075357,1005139,30,0.11761613441250665,0.007931618188032941
Blue badge,GA3538,31427789,10591490,1075357,1004294,30,0.1306502547272857,0.007724639294859552
Reason for glasses/contact lenses: For short-sightedness,GA3539,31427789,9223534,1075345,1004795,30,0.1908190883048356,0.005944821074933226
Reason for glasses/contact lenses: For long-sightedness,GA3540,31427789,9223534,1075345,1003953,25,0.08716855365019803,0.0037060542069022036
Reason for glasses/contact lenses: For just reading/near work as you are getting older,GA3541,31427789,9223534,1075345,1003833,17,0.04813788708378748,0.0033165739748351464
Reason for glasses/contact lenses: For astigmatism,GA3542,31427789,9223534,1075345,1004171,23,0.1532914547550263,0.007277758824130153
Cataract,GA3543,31427789,9572428,1075356,1007782,13,0.06121711310823429,0.0026411908559254953
Mouth ulcers,GA3544,31427789,10599054,1075357,1003283,30,0.07288754862754189,0.0023417982547770614
Painful gums,GA3545,31427789,10585707,1075357,1003217,21,0.056347986803959985,0.00320631615962531
Bleeding gums,GA3546,31427789,10599054,1075357,1004183,30,0.049788949826350334,0.00812568341421829
Loose teeth,GA3547,31427789,10596807,1075357,1003576,28,0.09099648651649915,0.006083255012632364
Toothache,GA3548,31427789,10596991,1075357,1003368,10,0.04382878165061798,0.003231357127172289
Dentures,GA3549,31427789,10599054,1075357,1008243,30,0.10579236033346405,0.015168252890863983
Angina,GA3550,31427789,10588129,1075357,1005298,30,0.18993118504143253,0.004911249419653306
High blood pressure,GA3551,31427789,10599054,1075357,1006477,30,0.16590559776675237,0.013727036236527998
Asthma,GA3552,31427789,10599054,1075357,1003391,30,0.13313365495275425,0.0042127843737844875
"Hayfever, allergic rhinitis or eczema",GA3553,31427789,10599054,1075357,1004151,30,0.11189297288406377,0.007240569799646336
Cholesterol lowering medication,GA3554,31427789,10000953,1075357,1007277,30,0.12537757304323455,0.00287785917139229
Blood pressure medication,GA3555,31427789,10000953,1075357,1007068,30,0.20887483257085904,0.009001277542987747
MedicHormone replacement therapy,GA3556,31427789,10000899,1075357,1003149,19,0.04877750171934861,0.0032885079187074005
Aspirin,GA3557,31427789,10589580,1075357,1006801,30,0.04885514832272782,0.006746290638956842
Ibuprofen,GA3558,31427789,10589580,1075357,1004626,30,0.04011389067536898,0.0071521253612937714
Paracetamol,GA3559,31427789,10589580,1075357,1004704,30,0.05898428863610141,0.011939480118948957
Omeprazole,GA3560,31427789,10589363,1075357,1004068,30,0.09521958648364334,0.010081478692831405
Laxatives,GA3561,31427789,10577491,1075357,1003752,25,0.10486007605006645,0.0053911482814552394
Vitamin B,GA3562,31427789,10597040,1075357,1003365,20,0.04624906366813469,0.004103823897680768
Vitamin C,GA3563,31427789,10599044,1075357,1003267,30,0.03611063042658007,0.005322011205065018
Vitamin D,GA3564,31427789,10595928,1075357,1003757,16,0.03526309351012645,0.0028708325315668043
Vitamin E,GA3565,31427789,10589417,1075357,1003235,14,0.053130774434833036,0.0035378063719797813
Multivitamins +/- minerals,GA3566,31427789,10599054,1075357,1003680,30,0.03544011204322145,0.00966528229102406
Why stopped smoking: Illness or ill health,GA3567,31427789,9346197,1075351,1004003,6,0.039608708211535205,0.0018458396404556592
Why stopped smoking: Health precaution,GA3568,31427789,9346197,1075351,1003719,30,0.052086562735872616,0.004353415269996036
Why stopped smoking: Financial reasons,GA3569,31427789,9346197,1075351,1003760,9,0.016420253593984767,0.0016220699388239264
Headache,GA3570,31427789,10599054,1075357,1005140,30,0.07124451876519762,0.008953249264568714
Neck or shoulder pain,GA3571,31427789,10599054,1075357,1003549,30,0.046784291343892,0.012224903289182075
Back pain,GA3572,31427789,10599054,1075357,1003546,30,0.052103132083077916,0.012775135820252526
Stomach or abdominal pain,GA3573,31427789,10599048,1075357,1003769,28,0.05941881183630494,0.007288428430364572
Hip pain,GA3574,31427789,10599054,1075357,1003991,30,0.05720626280636819,0.009449049341244459
Knee pain,GA3575,31427789,10599054,1075357,1003815,30,0.0559419869853523,0.011931545491999786
Social support - Leisure/social activities: Adult education class,GA3579,31427789,10599032,1075357,1004147,30,0.06222628678083875,0.0065097760212694915
Social support - Leisure/social activities: Other group activity,GA3580,31427789,10599054,1075357,1005016,30,0.03372349575511971,0.009367416320311621
Types of transport used: Car/motor vehicle,GA3581,31427789,10599054,1075357,1008220,30,0.0373980529337489,0.010228979411544799
Types of transport used: Walk,GA3582,31427789,10599054,1075357,1003836,30,0.03466878787178093,0.012606615982587875
Types of transport used: Public transport,GA3583,31427789,10599054,1075357,1008215,30,0.02431430812913002,0.00775371440166841
Types of transport used: Cycle,GA3584,31427789,10599009,1075357,1005418,30,0.10022647800872883,0.010495407651262358
Types of physical activity in last 4 weeks: Walking for pleasure,GA3585,31427789,10599054,1075357,1004249,30,0.044525790904187595,0.012421995582038218
Types of physical activity in last 4 weeks: Other exercises,GA3586,31427789,10599054,1075357,1005106,30,0.04359698062718052,0.013519942970115117
Types of physical activity in last 4 weeks: Strenuous sports,GA3587,31427789,10599054,1075357,1006364,30,0.06390462276187675,0.008665633346767617
Types of physical activity in last 4 weeks: Light DIY,GA3588,31427789,10599054,1075357,1004686,30,0.04373537886456835,0.014901604187583545
Types of physical activity in last 4 weeks: Heavy DIY,GA3589,31427789,10599054,1075357,1007213,30,0.045813197051632226,0.016113406931626672
Cholesterol lowering medication,GA3590,31427789,9851898,1075356,1008045,30,0.12966528570683478,0.004442938884816516
Blood pressure medication,GA3591,31427789,9851898,1075356,1007706,30,0.16753045379795378,0.009025381249763695
Fish oil (including cod liver oil),GA3592,31427789,10599054,1075357,1005337,30,0.03237239586679018,0.011487623457063244
Glucosamine,GA3593,31427789,10599054,1075357,1005292,30,0.03647159392201575,0.00920378598322601
Calcium,GA3594,31427789,10598977,1075357,1005381,28,0.05436776649010418,0.005791239200821787
Zinc,GA3595,31427789,10596487,1075357,1003324,26,0.06298879492016324,0.0051173220673210364
Iron,GA3596,31427789,10590312,1075357,1003507,6,0.03807799381437009,0.0018190059731214678
Hypertension,GA3597,31427789,10321705,1075357,1006230,30,0.16341990671846202,0.012445155360746259
Angina,GA3598,31427789,10318726,1075357,1005409,30,0.1695520554042864,0.004251983927774496
Asthma,GA3599,31427789,10321705,1075357,1003879,30,0.12257583821786525,0.003697294659124477
Gastro-esophageal reflux disease,GA3600,31427789,10321035,1075357,1003401,26,0.061839406346084966,0.0047744794593930565
Diabetes,GA3601,31427789,10320953,1075357,1004342,30,0.24569883896374217,0.004088235330064669
Hypothyroidism/Myxoedema,GA3602,31427789,10321470,1075357,1004964,30,0.2634950870397954,0.0022673137239440956
Migraine,GA3603,31427789,10318262,1075357,1004122,30,0.1504379426331665,0.0031325144745503637
Depression,GA3604,31427789,10321667,1075357,1004048,29,0.06440966202463291,0.005685305901862968
Hayfever/Allergic Rhinitis,GA3605,31427789,10321663,1075357,1004436,30,0.10120359908424627,0.0034967755204427333
Eczema/Dermatitis,GA3606,31427789,10314254,1075357,1003465,27,0.08626869872808551,8.093620268140848e-4
Osteoarthritis,GA3607,31427789,10321694,1075357,1005573,30,0.06250732948332333,0.0062148330991155624
High cholesterol,GA3608,31427789,10321705,1075357,1006380,30,0.10687497272399846,0.0022547370032078022
Omega-3/fish oil supplement,GA3609,31427789,10284680,1075357,1004206,6,0.023529271142470547,0.002349779281797765
Multivitamins,GA3610,31427789,10283115,1075357,1003832,5,0.00778173988598723,0.0014239837380578674
Lisinopril,GA3611,31427789,10280566,1075357,1004067,24,0.1108706466551134,0.004358910160839587
Ramipril,GA3612,31427789,10285805,1075357,1004822,27,0.07862366849822808,0.0050070810081933445
Simvastatin,GA3613,31427789,10286041,1075357,1007162,30,0.061587540433228054,0.0024727046536062265
Ventolin 100micrograms inhaler,GA3614,31427789,10281078,1075357,1003427,30,0.11992881174611524,0.001464971448448835
Lansoprazole,GA3615,31427789,10284516,1075357,1003896,24,0.06106642997242763,0.004532129201867659
Omeprazole,GA3616,31427789,10285998,1075357,1003915,27,0.06802787827821588,0.007708154186012218
Atenolol,GA3617,31427789,10284883,1075357,1004554,29,0.10868083195775304,0.0042336166314663765
Aspirin,GA3618,31427789,10286041,1075357,1007105,29,0.03509717068198303,0.004766202744825328
Ibuprofen,GA3619,31427789,10286041,1075357,1005820,26,0.0283333505124155,0.005345752908914583
Amlodipine,GA3620,31427789,10285466,1075357,1004832,30,0.1520840186476394,0.004809706296707034
Metformin,GA3621,31427789,10280049,1075357,1003906,30,0.3211814809802681,0.004536508459490318
Cod liver oil capsule,GA3622,31427789,10285962,1075357,1005063,12,0.030615501489569374,0.0034123096117221526
Atorvastatin,GA3623,31427789,10282834,1075357,1004571,30,0.0946400415536652,7.630579429653167e-4
Glucosamine product,GA3624,31427789,10286027,1075357,1005157,14,0.030457244596900364,0.0033545265997879563
Levothyroxine sodium,GA3625,31427789,10285376,1075357,1004533,30,0.19896730913123162,0.0014808834027407185
Bendroflumethiazide,GA3626,31427789,10286006,1075357,1004626,30,0.1334654926698814,0.005674124369798356
Paracetamol,GA3627,31427789,10286041,1075357,1005261,30,0.037354183547023204,0.007218687728497795
Family (paternal) history of Heart disease,GA3628,31427789,10520505,1075357,1003281,30,0.03773933314837412,0.0061324028004572885
Family (paternal) history of Stroke,GA3629,31427789,10520505,1075357,1003301,7,0.009870523217057106,0.0017796860738906264
Family (paternal) history of Lung cancer,GA3630,31427789,10520465,1075357,1003450,30,0.04107715648137655,0.0037699775089709
Family (paternal) history of Bowel cancer,GA3631,31427789,10519889,1075357,1003049,8,0.021650038593679984,0.0011228742240562382
Family (paternal) history of Chronic bronchitis/emphysema,GA3632,31427789,10520502,1075357,1004011,29,0.04171401837447115,0.006145491240294671
Family (paternal) history of High blood pressure,GA3633,31427789,10520505,1075357,1004427,30,0.03102335657889669,0.005473094071841955
Family (paternal) history of Diabetes,GA3634,31427789,10520503,1075357,1003554,30,0.09264510050885963,0.006045937340184332
Family (paternal) history of Alzheimer's disease,GA3635,31427789,10518475,1075357,1003368,25,0.017071252580046842,1.119743705759151e-5
Family (paternal) history of Severe depression,GA3636,31427789,10515730,1075357,1003190,21,0.057448591993884995,0.004465679629403288
Family (paternal) history of Prostate cancer,GA3637,31427789,10520442,1075357,1003204,26,0.028152547542236745,8.738580216826441e-4
Family (maternal) history of Heart disease,GA3638,31427789,10552592,1075357,1004178,30,0.02588385096954108,0.0036386118140105134
Family (maternal) history of Stroke,GA3639,31427789,10552592,1075357,1004125,23,0.015375060816253424,0.0039777190397823
Family (maternal) history of Lung cancer,GA3640,31427789,10547433,1075357,1003213,15,0.03162632040508404,0.0016975456406785336
Family (maternal) history of Bowel cancer,GA3641,31427789,10551413,1075357,1003212,16,0.023058428533441998,0.0020274879349716046
Family (maternal) history of Breast cancer,GA3642,31427789,10552582,1075357,1003108,25,0.024352597655684195,6.567056359932197e-4
Family (maternal) history of Chronic bronchitis/emphysema,GA3643,31427789,10552067,1075357,1003348,27,0.05644258828653888,0.004826384315229795
Family (maternal) history of High blood pressure,GA3644,31427789,10552592,1075357,1004264,30,0.03495204108930064,0.006865797742882981
Family (maternal) history of Diabetes,GA3645,31427789,10552590,1075357,1003267,30,0.0892164810933535,0.005483667194371932
Family (maternal) history of Alzheimer's disease,GA3646,31427789,10552574,1075357,1004378,30,0.024037060922356135,1.828746601152342e-5
Family (maternal) history of Severe depression,GA3647,31427789,10552468,1075357,1003281,27,0.048045626705328894,0.005317833951689548
Family (siblings) history of Heart disease,GA3648,31427789,10383971,1075357,1005357,29,0.0503601032237686,0.0047342366815847055
Family (siblings) history of Stroke,GA3649,31427789,10370504,1075357,1003860,9,0.030978249866624733,0.0015123246755276978
Family (siblings) history of Breast cancer,GA3650,31427789,10381785,1075357,1003478,22,0.030849464266286264,7.129161214776498e-4
Family (siblings) history of High blood pressure,GA3651,31427789,10383973,1075357,1004436,30,0.058461506040796196,0.007731584611048056
Family (siblings) history of Diabetes,GA3652,31427789,10383954,1075357,1003746,30,0.0806090916927195,0.004181626765931865
Family (siblings) history of Severe depression,GA3653,31427789,10383898,1075357,1003402,28,0.05446477403396227,0.005143967013576101
Ever vs never smokers,GA3654,31427789,10599054,1075357,1005314,30,0.10006608149615531,0.020399150710980585
Former vs current smokers,GA3655,31427789,9856108,1075356,1007230,30,0.060321554757409614,0.007533102178453226
Ever vs never drinkers,GA3656,31427789,10595717,1075357,1003634,30,0.24159862139766528,0.013469319031796321
Former vs current drinkers,GA3657,31427789,10565103,1075357,1003618,29,0.10181096646834263,0.006836404336417507
Other and unspecified malignant neoplasm of skin,GA3658,31427789,9006841,1075314,1004733,30,0.14021887045607584,0.0010536497721653252
Malignant neoplasm of breast,GA3659,31427789,9007627,1075314,1009799,27,0.06894976138243622,3.9958974190237954e-4
Basal cell carcinoma,GA3660,31427789,9066843,1075325,1005049,30,0.13989020254879603,8.028394092776895e-4
Adenocarcinoma,GA3661,31427789,9065925,1075325,1008830,24,0.048571875048911,4.6514295778850436e-4
Carcinoma in situ,GA3662,31427789,9072313,1075326,1006494,9,0.007251997006098056,1.2376186676898575e-4
"Malignant, primary site",GA3663,31427789,9073249,1075327,1006396,8,0.0062016425263212325,8.080280327654019e-5
Other and unspecified malignant neoplasm of skin,GA3665,31427789,10347256,1075357,1003873,30,0.12951489490735135,7.412515200928165e-4
"Benign neoplasm of colon, rectum, anus and anal canal",GA3666,31427789,10352088,1075357,1003814,27,0.10669181818484669,0.0016707467843053764
Other cataract,GA3667,31427789,10357482,1075357,1004894,28,0.0742584151945821,0.0020313130607262694
Chronic ischemic heart disease,GA3668,31427789,10358749,1075357,1005705,30,0.19865006886962244,0.0038718419844366286
Gastro-esophageal reflux disease,GA3669,31427789,10356180,1075357,1003302,11,0.0552165924841681,0.0028331792442363394
Gastritis and duodenitis,GA3670,31427789,10358816,1075357,1003742,14,0.04378700059353123,0.0038223551814364114
Inguinal hernia,GA3671,31427789,10358566,1075357,1006337,30,0.13655789174154015,0.002742724568616209
Other and unsp noninfective gastroenteritis and colitis,GA3672,31427789,10351448,1075357,1003182,12,0.04007662954022225,0.002053414774293145
