GWAS_trait,id,GWAS_pubmedID,source,M_or,M_m,M_ldpred,k,h2_est,p_est
"Age hay fever, rhinitis or eczema diagnosed",GA3372,31427789,GWASAtlas,9214595,1075345,1003929,30,1.08e-01,3.30e-03
Knee pain for 3+ months,GA3373,31427789,GWASAtlas,9243234,1075346,1003936,8,2.77e-02,2.35e-03
Headaches for 3+ months,GA3374,31427789,GWASAtlas,9200879,1075345,1004364,28,6.41e-02,4.41e-03
Time since last prostate specific antigen (PSA) test,GA3375,31427789,GWASAtlas,8969086,1075286,1003934,4,8.89e-03,4.97e-04
Number of stillbirths,GA3376,31427789,GWASAtlas,9112883,1075336,1003940,10,1.78e-02,2.31e-03
Number of spontaneous miscarriages,GA3377,31427789,GWASAtlas,9110820,1075336,1003940,7,1.21e-02,2.27e-03
Number of pregnancy terminations,GA3378,31427789,GWASAtlas,9108833,1075336,1003942,26,6.88e-02,5.84e-03
Diastolic Blood Pressure,GA3379,31427789,GWASAtlas,10534620,1075357,1003957,30,1.38e-01,1.68e-02
Systolic Blood Pressure,GA3380,31427789,GWASAtlas,10534620,1075357,1003955,30,1.51e-01,1.81e-02
Prospective memory test - Time to answer,GA3381,31427789,GWASAtlas,9580562,1075356,1003969,30,6.47e-02,8.94e-03
Prospective memory test - Duration screen displayed,GA3382,31427789,GWASAtlas,9580562,1075356,1003968,30,7.11e-02,1.03e-02
Prospective memory test - Number of attempts,GA3383,31427789,GWASAtlas,9580562,1075356,1003997,29,4.93e-02,7.63e-03
Non-accidental death in close genetic family,GA3384,31427789,GWASAtlas,9538581,1075356,1003798,13,1.86e-02,1.67e-03
Happiness,GA3385,31427789,GWASAtlas,9580562,1075356,1003972,30,7.11e-02,9.49e-03
Work/job satisfaction,GA3386,31427789,GWASAtlas,9580258,1075356,1003961,18,2.21e-02,4.01e-03
Health satisfaction,GA3387,31427789,GWASAtlas,9580562,1075356,1003966,30,7.58e-02,9.62e-03
Family relationship satisfaction,GA3388,31427789,GWASAtlas,9575152,1075356,1003958,30,5.89e-02,7.87e-03
Friendships satisfaction,GA3389,31427789,GWASAtlas,9572440,1075356,1003953,30,6.50e-02,8.32e-03
Financial situation satisfaction,GA3390,31427789,GWASAtlas,9577829,1075356,1003965,30,4.92e-02,7.15e-03
Ever depressed for a whole week,GA3391,31427789,GWASAtlas,9567039,1075356,1004703,30,5.42e-02,6.64e-03
Longest period of depression,GA3392,31427789,GWASAtlas,9005965,1075314,1003971,6,6.34e-03,2.08e-03
Ever unenthusiastic/disinterested for a whole week,GA3394,31427789,GWASAtlas,9548951,1075356,1004749,30,5.31e-02,6.06e-03
Ever highly irritable/argumentative for 2 days,GA3395,31427789,GWASAtlas,9564533,1075356,1004712,30,7.77e-02,6.35e-03
Other sociodemographic factors - Private healthcare,GA3396,31427789,GWASAtlas,9577829,1075356,1003959,26,2.99e-02,5.06e-03
Shortness of breath walking on level ground,GA3397,31427789,GWASAtlas,9569781,1075356,1004660,30,1.21e-01,6.97e-03
Leg pain on walking,GA3398,31427789,GWASAtlas,9575152,1075356,1004662,30,7.30e-02,7.07e-03
Tinnitus,GA3399,31427789,GWASAtlas,9567039,1075356,1003964,30,5.86e-02,7.15e-03
Noisy workplace,GA3400,31427789,GWASAtlas,9575152,1075356,1003964,30,5.17e-02,7.64e-03
Loud music exposure frequency,GA3401,31427789,GWASAtlas,9572429,1075356,1003954,26,2.99e-02,4.99e-03
Fluid intelligence test - FI7 : synonym,GA3405,31427789,GWASAtlas,9311462,1075350,1003530,28,1.34e-01,6.09e-03
Number of older siblings,GA3407,31427789,GWASAtlas,9465132,1075356,1003965,23,5.46e-02,7.97e-03
Educational attainment,GA3409,31427789,GWASAtlas,10415538,1075357,1003945,30,1.77e-01,3.71e-02
Interpolated Year when non-cancer illness first diagnosed,GA3410,31427789,GWASAtlas,10277566,1075357,1003959,30,2.30e-02,3.84e-03
Interpolated Age of participant when non-cancer illness first diagnosed,GA3411,31427789,GWASAtlas,10277566,1075357,1003960,30,2.29e-02,3.80e-03
Sitting height,GA3412,31427789,GWASAtlas,10599054,1075357,1003952,30,4.23e-01,2.55e-02
Intelligence,GA3413,31427789,GWASAtlas,9561902,1075356,1003971,30,2.72e-01,2.22e-02
Reaction time,GA3415,31427789,GWASAtlas,10599054,1075357,1003942,30,8.88e-02,2.43e-02
Bipolar/Major depression,GA3416,31427789,GWASAtlas,9337888,1075351,1005069,30,7.71e-02,6.34e-03
Neuroticism,GA3417,31427789,GWASAtlas,10399545,1075357,1003947,30,1.11e-01,1.88e-02
Fluid intelligence test - Number of fluid intelligence questions attempted within time limit,GA3418,31427789,GWASAtlas,9561902,1075356,1003974,30,1.41e-01,1.51e-02
Pairs matching test - Number of correct matches in round,GA3419,31427789,GWASAtlas,9354853,1075351,1003985,4,2.21e-03,1.51e-03
Pairs matching test - Number of incorrect matches in round,GA3420,31427789,GWASAtlas,9354853,1075351,1003990,23,2.33e-02,3.73e-03
Pairs matching test - Time to complete round,GA3421,31427789,GWASAtlas,9336150,1075350,1003969,28,4.58e-02,4.93e-03
Trail making test - Duration to complete numeric path (trail #1),GA3422,31427789,GWASAtlas,9267643,1075349,1003973,23,4.63e-02,4.71e-03
Trail making test - Duration to complete alphanumeric path (trail #2),GA3423,31427789,GWASAtlas,9267643,1075349,1003965,30,1.16e-01,8.61e-03
Symbol digit substitution test - Number of symbol digit matches made correctly,GA3424,31427789,GWASAtlas,9354853,1075351,1003961,30,1.22e-01,1.04e-02
Ever vs never smokers,GA3425,31427789,GWASAtlas,10599054,1075357,1004835,30,8.54e-02,1.87e-02
Fluid intelligence test - FI4 : positional arithmetic,GA3427,31427789,GWASAtlas,9377412,1075353,1003468,9,7.60e-02,3.37e-03
Fluid intelligence test - Fluid intelligence score,GA3431,31427789,GWASAtlas,9382912,1075353,1003967,30,1.84e-01,1.36e-02
Symbol digit substitution test - Number of symbol digit matches attempted,GA3432,31427789,GWASAtlas,9354853,1075351,1003967,30,1.36e-01,1.14e-02
Symbol digit substitution test - Duration to entering value,GA3433,31427789,GWASAtlas,9356415,1075351,1003970,21,2.49e-02,4.07e-03
Numeric memory test - Maximum digits remembered correctly,GA3434,31427789,GWASAtlas,9309858,1075350,1003985,30,1.12e-01,9.09e-03
Weight,GA3436,31427789,GWASAtlas,10599054,1075357,1003943,30,3.07e-01,3.51e-02
Doctor diagnosed hayfever or allergic rhinitis,GA3437,31427789,GWASAtlas,9368598,1075352,1003757,30,1.03e-01,2.56e-03
Asthma,GA3438,31427789,GWASAtlas,9368597,1075352,1003459,30,1.15e-01,1.37e-03
Tobacco smoking,GA3439,31427789,GWASAtlas,9365168,1075352,1003976,30,7.74e-02,7.08e-03
Impedance measures - Weight,GA3440,31427789,GWASAtlas,10589580,1075357,1003946,30,3.07e-01,3.47e-02
Impedance measures - Body fat percentage,GA3441,31427789,GWASAtlas,10588653,1075357,1003948,30,2.57e-01,3.46e-02
Impedance measures - Whole body fat mass,GA3442,31427789,GWASAtlas,10579925,1075357,1003950,30,2.63e-01,3.39e-02
Impedance measures - Whole body fat-free mass,GA3443,31427789,GWASAtlas,10589580,1075357,1003953,30,3.67e-01,3.16e-02
Impedance measures - Whole body water mass,GA3444,31427789,GWASAtlas,10589580,1075357,1003960,30,3.65e-01,3.16e-02
Impedance measures - Body mass index (BMI),GA3445,31427789,GWASAtlas,10589580,1075357,1003960,30,2.50e-01,2.90e-02
Impedance measures - Basal metabolic rate,GA3446,31427789,GWASAtlas,10589580,1075357,1003947,30,3.45e-01,3.20e-02
Impedance measures - Impedance of whole body,GA3447,31427789,GWASAtlas,10589580,1075357,1003952,30,2.74e-01,2.60e-02
Impedance measures - Impedance of leg (right),GA3448,31427789,GWASAtlas,10589580,1075357,1003941,30,2.56e-01,2.43e-02
Impedance measures - Impedance of leg (left),GA3449,31427789,GWASAtlas,10589580,1075357,1003950,30,2.57e-01,2.46e-02
Impedance measures - Impedance of arm (right),GA3450,31427789,GWASAtlas,10589580,1075357,1003943,30,2.35e-01,2.40e-02
Impedance measures - Impedance of arm (left),GA3451,31427789,GWASAtlas,10589580,1075357,1003956,30,2.42e-01,2.46e-02
Impedance measures - Leg fat percentage (right),GA3452,31427789,GWASAtlas,10589580,1075357,1003960,30,2.51e-01,3.44e-02
Impedance measures - Leg fat mass (right),GA3453,31427789,GWASAtlas,10589580,1075357,1003951,30,2.35e-01,3.12e-02
Impedance measures - Leg fat-free mass (right),GA3454,31427789,GWASAtlas,10589580,1075357,1003945,30,3.13e-01,2.96e-02
Impedance measures - Leg predicted mass (right),GA3455,31427789,GWASAtlas,10589580,1075357,1003953,30,3.13e-01,2.96e-02
Impedance measures - Leg fat percentage (left),GA3456,31427789,GWASAtlas,10589580,1075357,1003951,30,2.52e-01,3.44e-02
Impedance measures - Leg fat mass (left),GA3457,31427789,GWASAtlas,10589580,1075357,1003953,30,2.35e-01,3.10e-02
Impedance measures - Leg fat-free mass (left),GA3458,31427789,GWASAtlas,10589580,1075357,1003949,30,3.10e-01,3.01e-02
Impedance measures - Leg predicted mass (left),GA3459,31427789,GWASAtlas,10589580,1075357,1003946,30,3.10e-01,3.00e-02
Impedance measures - Arm fat percentage (right),GA3460,31427789,GWASAtlas,10589580,1075357,1003957,30,2.34e-01,3.11e-02
Impedance measures - Arm fat mass (right),GA3461,31427789,GWASAtlas,10589580,1075357,1003945,30,2.21e-01,2.83e-02
Impedance measures - Arm fat-free mass (right),GA3462,31427789,GWASAtlas,10589580,1075357,1003957,30,3.14e-01,2.99e-02
Impedance measures - Arm predicted mass (right),GA3463,31427789,GWASAtlas,10589580,1075357,1003949,30,3.13e-01,2.97e-02
Impedance measures - Arm fat percentage (left),GA3464,31427789,GWASAtlas,10589580,1075357,1003949,30,2.37e-01,3.11e-02
Impedance measures - Arm fat mass (left),GA3465,31427789,GWASAtlas,10589580,1075357,1003948,30,2.17e-01,2.80e-02
Impedance measures - Arm fat-free mass (left),GA3466,31427789,GWASAtlas,10588913,1075357,1003959,30,3.16e-01,3.06e-02
Impedance measures - Arm predicted mass (left),GA3467,31427789,GWASAtlas,10588672,1075357,1003949,30,3.16e-01,3.06e-02
Impedance measures - Trunk fat percentage,GA3468,31427789,GWASAtlas,10588630,1075357,1003954,30,2.48e-01,3.40e-02
Impedance measures - Trunk fat mass,GA3469,31427789,GWASAtlas,10588593,1075357,1003948,30,2.74e-01,3.55e-02
Impedance measures - Trunk fat-free mass,GA3470,31427789,GWASAtlas,10588231,1075357,1003946,30,3.79e-01,3.10e-02
Impedance measures - Trunk predicted mass,GA3471,31427789,GWASAtlas,10587689,1075357,1003946,30,3.77e-01,3.10e-02
Age at cancer diagnosis,GA3472,31427789,GWASAtlas,9077725,1075328,1003935,7,3.43e-03,1.31e-03
Reported occurrences of cancer,GA3473,31427789,GWASAtlas,9077725,1075328,1003936,3,4.52e-03,3.69e-04
Type of accommodation lived in: A house or bungalow,GA3474,31427789,GWASAtlas,10599054,1075357,1010493,27,3.24e-02,6.81e-03
"Type of accommodation lived in: A flat, maisonette or apartment",GA3475,31427789,GWASAtlas,10599054,1075357,1010505,25,3.19e-02,6.57e-03
Own or rent accommodation lived in: Own outright (by you or someone in your household),GA3476,31427789,GWASAtlas,10589580,1075357,1010420,30,2.96e-02,1.25e-02
Own or rent accommodation lived in: Own with a mortgage,GA3477,31427789,GWASAtlas,10589580,1075357,1010267,28,1.40e-02,6.45e-03
"Own or rent accommodation lived in: Rent - from local authority, local council, housing association",GA3478,31427789,GWASAtlas,10589020,1075357,1010499,30,1.52e-01,1.41e-02
Own or rent accommodation lived in: Rent - from private landlord or letting agency,GA3479,31427789,GWASAtlas,10582248,1075357,1004711,27,1.34e-01,8.46e-03
Milk type used: Full cream,GA3480,31427789,GWASAtlas,10570691,1075357,1004167,30,7.08e-02,6.11e-03
Milk type used: Semi-skimmed,GA3481,31427789,GWASAtlas,10570778,1075357,1003799,26,1.25e-02,5.19e-03
Milk type used: Skimmed,GA3482,31427789,GWASAtlas,10570778,1075357,1004389,30,3.23e-02,7.57e-03
Milk type used: Soya,GA3483,31427789,GWASAtlas,10568091,1075357,1003555,29,1.15e-01,6.73e-03
Spread type: Butter/spreadable butter,GA3484,31427789,GWASAtlas,10490463,1075357,1004011,30,4.25e-02,1.12e-02
Bread type: White,GA3485,31427789,GWASAtlas,10570778,1075357,1005417,30,7.42e-02,1.65e-02
Bread type: Brown,GA3486,31427789,GWASAtlas,10570778,1075357,1003288,29,4.19e-02,7.95e-03
Bread type: Wholemeal or wholegrain,GA3487,31427789,GWASAtlas,10570778,1075357,1005061,30,5.34e-02,1.48e-02
Cereal type: Bran cereal,GA3488,31427789,GWASAtlas,10415538,1075357,1003258,23,1.83e-02,4.07e-03
Cereal type: Biscuit cereal,GA3489,31427789,GWASAtlas,10415538,1075357,1003658,26,2.89e-02,5.93e-03
Cereal type: Oat cereal,GA3490,31427789,GWASAtlas,10415538,1075357,1004221,30,2.59e-02,7.28e-03
Cereal type: Muesli,GA3491,31427789,GWASAtlas,10415538,1075357,1004445,30,8.57e-02,1.71e-02
Coffee type: Decaffeinated coffee,GA3492,31427789,GWASAtlas,10367817,1075357,1004301,29,2.87e-02,6.45e-03
Coffee type: Instant coffee,GA3493,31427789,GWASAtlas,10367817,1075357,1004865,30,3.87e-02,1.13e-02
Coffee type: Ground coffee,GA3494,31427789,GWASAtlas,10367817,1075357,1005918,30,1.01e-01,1.83e-02
Hair colour: Blonde,GA3495,31427789,GWASAtlas,10599015,1075357,1003587,30,3.30e-01,2.18e-03
Hair colour: Red,GA3496,31427789,GWASAtlas,10594432,1075357,1003140,30,9.52e-01,2.09e-04
Hair colour: Light brown,GA3497,31427789,GWASAtlas,10599054,1075357,1003348,30,9.81e-02,8.06e-03
Hair colour: Dark brown,GA3498,31427789,GWASAtlas,10599054,1075357,1003471,30,2.26e-01,8.46e-03
Bald Pattern 1,GA3500,31427789,GWASAtlas,9851898,1075356,1003809,30,2.52e-01,3.69e-03
Bald Pattern 2,GA3501,31427789,GWASAtlas,9851898,1075356,1003800,30,7.47e-02,1.54e-03
Bald Pattern 3,GA3502,31427789,GWASAtlas,9851898,1075356,1004171,30,5.87e-02,1.25e-03
Bald Pattern 4,GA3503,31427789,GWASAtlas,9851898,1075356,1003635,30,3.27e-01,3.43e-03
Non-butter spread type details: Flora Pro-Active or Benecol,GA3504,31427789,GWASAtlas,9971636,1075357,1004644,20,1.99e-02,9.85e-04
Non-butter spread type details: Soft (tub) margarine,GA3505,31427789,GWASAtlas,9971636,1075357,1005041,23,5.75e-02,5.81e-03
Non-butter spread type details: Olive oil based spread,GA3506,31427789,GWASAtlas,9971636,1075357,1003844,24,1.47e-02,3.37e-03
Non-butter spread type details: Polyunsaturated/sunflower oil based spread,GA3507,31427789,GWASAtlas,9971636,1075357,1003461,19,8.89e-03,2.91e-03
Non-butter spread type details: Other low or reduced fat spread,GA3508,31427789,GWASAtlas,9971635,1075357,1003581,10,2.05e-02,1.77e-03
Reason for reducing amount of alcohol drunk: Illness or ill health,GA3509,31427789,GWASAtlas,9665500,1075356,1003417,10,2.77e-02,2.09e-03
Reason for reducing amount of alcohol drunk: Health precaution,GA3510,31427789,GWASAtlas,9665724,1075356,1004091,30,4.59e-02,6.49e-03
Reason for reducing amount of alcohol drunk: Other reason,GA3511,31427789,GWASAtlas,9665724,1075356,1004802,30,4.49e-02,7.11e-03
Type of tobacco previously smoked: Manufactured cigarettes,GA3512,31427789,GWASAtlas,9352990,1075351,1006317,18,4.33e-02,3.26e-03
Gas or solid-fuel cooking/heating: A gas hob or gas cooker,GA3513,31427789,GWASAtlas,10599054,1075357,1004280,8,4.09e-03,2.70e-03
Gas or solid-fuel cooking/heating: A gas fire that you use regularly in winter time,GA3514,31427789,GWASAtlas,10599054,1075357,1006052,25,1.50e-02,7.41e-03
Gas or solid-fuel cooking/heating: An open solid fuel fire that you use regularly in winter time,GA3515,31427789,GWASAtlas,10599013,1075357,1004434,30,5.13e-02,7.40e-03
"How are people in household related to participant: Husband, wife or partner",GA3517,31427789,GWASAtlas,10399539,1075357,1006583,21,3.68e-02,4.90e-03
How are people in household related to participant: Son and/or daughter,GA3518,31427789,GWASAtlas,10399545,1075357,1010347,23,9.35e-03,3.21e-03
Current employment status: In paid employment or self-employed,GA3519,31427789,GWASAtlas,10599054,1075357,1010270,28,1.17e-02,5.26e-03
Current employment status: Retired,GA3520,31427789,GWASAtlas,10599054,1075357,1006771,23,9.68e-03,4.54e-03
Current employment status: Looking after home and/or family,GA3521,31427789,GWASAtlas,10598537,1075357,1005543,11,3.11e-02,2.87e-03
Current employment status: Unable to work because of sickness or disability,GA3522,31427789,GWASAtlas,10593982,1075357,1005589,30,1.04e-01,6.87e-03
Current employment status: Doing unpaid or voluntary work,GA3523,31427789,GWASAtlas,10595255,1075357,1003705,19,5.76e-02,4.58e-03
Transport type for commuting to job workplace: Car/motor vehicle,GA3524,31427789,GWASAtlas,9990728,1075357,1009049,19,3.12e-02,5.29e-03
Transport type for commuting to job workplace: Walk,GA3525,31427789,GWASAtlas,9990728,1075357,1005524,22,2.41e-02,3.70e-03
Transport type for commuting to job workplace: Public transport,GA3526,31427789,GWASAtlas,9990728,1075357,1008185,27,3.57e-02,5.64e-03
Transport type for commuting to job workplace: Cycle,GA3527,31427789,GWASAtlas,9990709,1075357,1005915,30,1.26e-01,8.23e-03
"Never eat eggs, dairy, wheat, sugar: Eggs or foods containing eggs",GA3528,31427789,GWASAtlas,10577301,1075357,1003173,20,1.03e-01,5.15e-03
"Never eat eggs, dairy, wheat, sugar: Wheat products",GA3529,31427789,GWASAtlas,10582268,1075357,1003226,30,1.23e-02,1.39e-05
"Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar",GA3530,31427789,GWASAtlas,10599054,1075357,1004683,30,7.22e-02,1.42e-02
"Never eat eggs, dairy, wheat, sugar: I eat all of the above",GA3531,31427789,GWASAtlas,10599054,1075357,1004721,30,6.60e-02,1.39e-02
"Mental health: Serious illness, injury or assault to yourself",GA3532,31427789,GWASAtlas,10599051,1075357,1003439,29,3.85e-02,6.83e-03
"Mental health: Serious illness, injury or assault of a close relative",GA3533,31427789,GWASAtlas,10599054,1075357,1003810,27,2.57e-02,5.57e-03
Mental health: Death of a close relative,GA3534,31427789,GWASAtlas,10599054,1075357,1003218,11,1.27e-02,3.93e-03
Mental health: Marital separation/divorce,GA3535,31427789,GWASAtlas,10590423,1075357,1003873,12,3.44e-02,2.40e-03
Mental health: Financial difficulties,GA3536,31427789,GWASAtlas,10599054,1075357,1006475,30,7.02e-02,1.06e-02
Disability living allowance,GA3537,31427789,GWASAtlas,10595927,1075357,1005139,30,1.18e-01,7.93e-03
Blue badge,GA3538,31427789,GWASAtlas,10591490,1075357,1004294,30,1.31e-01,7.72e-03
Reason for glasses/contact lenses: For short-sightedness,GA3539,31427789,GWASAtlas,9223534,1075345,1004795,30,1.91e-01,5.94e-03
Reason for glasses/contact lenses: For long-sightedness,GA3540,31427789,GWASAtlas,9223534,1075345,1003953,25,8.72e-02,3.71e-03
Reason for glasses/contact lenses: For just reading/near work as you are getting older,GA3541,31427789,GWASAtlas,9223534,1075345,1003833,17,4.81e-02,3.32e-03
Reason for glasses/contact lenses: For astigmatism,GA3542,31427789,GWASAtlas,9223534,1075345,1004171,23,1.53e-01,7.28e-03
Cataract,GA3543,31427789,GWASAtlas,9572428,1075356,1007782,13,6.12e-02,2.64e-03
Mouth ulcers,GA3544,31427789,GWASAtlas,10599054,1075357,1003283,30,7.29e-02,2.34e-03
Painful gums,GA3545,31427789,GWASAtlas,10585707,1075357,1003217,21,5.63e-02,3.21e-03
Bleeding gums,GA3546,31427789,GWASAtlas,10599054,1075357,1004183,30,4.98e-02,8.13e-03
Loose teeth,GA3547,31427789,GWASAtlas,10596807,1075357,1003576,28,9.10e-02,6.08e-03
Toothache,GA3548,31427789,GWASAtlas,10596991,1075357,1003368,10,4.38e-02,3.23e-03
Dentures,GA3549,31427789,GWASAtlas,10599054,1075357,1008243,30,1.06e-01,1.52e-02
Angina,GA3550,31427789,GWASAtlas,10588129,1075357,1005298,30,1.90e-01,4.91e-03
High blood pressure,GA3551,31427789,GWASAtlas,10599054,1075357,1006477,30,1.66e-01,1.37e-02
Asthma,GA3552,31427789,GWASAtlas,10599054,1075357,1003391,30,1.33e-01,4.21e-03
"Hayfever, allergic rhinitis or eczema",GA3553,31427789,GWASAtlas,10599054,1075357,1004151,30,1.12e-01,7.24e-03
Cholesterol lowering medication,GA3554,31427789,GWASAtlas,10000953,1075357,1007277,30,1.25e-01,2.88e-03
Blood pressure medication,GA3555,31427789,GWASAtlas,10000953,1075357,1007068,30,2.09e-01,9.00e-03
MedicHormone replacement therapy,GA3556,31427789,GWASAtlas,10000899,1075357,1003149,19,4.88e-02,3.29e-03
Aspirin,GA3557,31427789,GWASAtlas,10589580,1075357,1006801,30,4.89e-02,6.75e-03
Ibuprofen,GA3558,31427789,GWASAtlas,10589580,1075357,1004626,30,4.01e-02,7.15e-03
Paracetamol,GA3559,31427789,GWASAtlas,10589580,1075357,1004704,30,5.90e-02,1.19e-02
Omeprazole,GA3560,31427789,GWASAtlas,10589363,1075357,1004068,30,9.52e-02,1.01e-02
Laxatives,GA3561,31427789,GWASAtlas,10577491,1075357,1003752,25,1.05e-01,5.39e-03
Vitamin B,GA3562,31427789,GWASAtlas,10597040,1075357,1003365,20,4.62e-02,4.10e-03
Vitamin C,GA3563,31427789,GWASAtlas,10599044,1075357,1003267,30,3.61e-02,5.32e-03
Vitamin D,GA3564,31427789,GWASAtlas,10595928,1075357,1003757,16,3.53e-02,2.87e-03
Vitamin E,GA3565,31427789,GWASAtlas,10589417,1075357,1003235,14,5.31e-02,3.54e-03
Multivitamins +/- minerals,GA3566,31427789,GWASAtlas,10599054,1075357,1003680,30,3.54e-02,9.67e-03
Why stopped smoking: Illness or ill health,GA3567,31427789,GWASAtlas,9346197,1075351,1004003,6,3.96e-02,1.85e-03
Why stopped smoking: Health precaution,GA3568,31427789,GWASAtlas,9346197,1075351,1003719,30,5.21e-02,4.35e-03
Why stopped smoking: Financial reasons,GA3569,31427789,GWASAtlas,9346197,1075351,1003760,9,1.64e-02,1.62e-03
Headache,GA3570,31427789,GWASAtlas,10599054,1075357,1005140,30,7.12e-02,8.95e-03
Neck or shoulder pain,GA3571,31427789,GWASAtlas,10599054,1075357,1003549,30,4.68e-02,1.22e-02
Back pain,GA3572,31427789,GWASAtlas,10599054,1075357,1003546,30,5.21e-02,1.28e-02
Stomach or abdominal pain,GA3573,31427789,GWASAtlas,10599048,1075357,1003769,28,5.94e-02,7.29e-03
Hip pain,GA3574,31427789,GWASAtlas,10599054,1075357,1003991,30,5.72e-02,9.45e-03
Knee pain,GA3575,31427789,GWASAtlas,10599054,1075357,1003815,30,5.59e-02,1.19e-02
Social support - Leisure/social activities: Adult education class,GA3579,31427789,GWASAtlas,10599032,1075357,1004147,30,6.22e-02,6.51e-03
Social support - Leisure/social activities: Other group activity,GA3580,31427789,GWASAtlas,10599054,1075357,1005016,30,3.37e-02,9.37e-03
Types of transport used: Car/motor vehicle,GA3581,31427789,GWASAtlas,10599054,1075357,1008220,30,3.74e-02,1.02e-02
Types of transport used: Walk,GA3582,31427789,GWASAtlas,10599054,1075357,1003836,30,3.47e-02,1.26e-02
Types of transport used: Public transport,GA3583,31427789,GWASAtlas,10599054,1075357,1008215,30,2.43e-02,7.75e-03
Types of transport used: Cycle,GA3584,31427789,GWASAtlas,10599009,1075357,1005418,30,1.00e-01,1.05e-02
Types of physical activity in last 4 weeks: Walking for pleasure,GA3585,31427789,GWASAtlas,10599054,1075357,1004249,30,4.45e-02,1.24e-02
Types of physical activity in last 4 weeks: Other exercises,GA3586,31427789,GWASAtlas,10599054,1075357,1005106,30,4.36e-02,1.35e-02
Types of physical activity in last 4 weeks: Strenuous sports,GA3587,31427789,GWASAtlas,10599054,1075357,1006364,30,6.39e-02,8.67e-03
Types of physical activity in last 4 weeks: Light DIY,GA3588,31427789,GWASAtlas,10599054,1075357,1004686,30,4.37e-02,1.49e-02
Types of physical activity in last 4 weeks: Heavy DIY,GA3589,31427789,GWASAtlas,10599054,1075357,1007213,30,4.58e-02,1.61e-02
Cholesterol lowering medication,GA3590,31427789,GWASAtlas,9851898,1075356,1008045,30,1.30e-01,4.44e-03
Blood pressure medication,GA3591,31427789,GWASAtlas,9851898,1075356,1007706,30,1.68e-01,9.03e-03
Fish oil (including cod liver oil),GA3592,31427789,GWASAtlas,10599054,1075357,1005337,30,3.24e-02,1.15e-02
Glucosamine,GA3593,31427789,GWASAtlas,10599054,1075357,1005292,30,3.65e-02,9.20e-03
Calcium,GA3594,31427789,GWASAtlas,10598977,1075357,1005381,28,5.44e-02,5.79e-03
Zinc,GA3595,31427789,GWASAtlas,10596487,1075357,1003324,26,6.30e-02,5.12e-03
Iron,GA3596,31427789,GWASAtlas,10590312,1075357,1003507,6,3.81e-02,1.82e-03
Hypertension,GA3597,31427789,GWASAtlas,10321705,1075357,1006230,30,1.63e-01,1.24e-02
Angina,GA3598,31427789,GWASAtlas,10318726,1075357,1005409,30,1.70e-01,4.25e-03
Asthma,GA3599,31427789,GWASAtlas,10321705,1075357,1003879,30,1.23e-01,3.70e-03
Gastro-esophageal reflux disease,GA3600,31427789,GWASAtlas,10321035,1075357,1003401,26,6.18e-02,4.77e-03
Diabetes,GA3601,31427789,GWASAtlas,10320953,1075357,1004342,30,2.46e-01,4.09e-03
Hypothyroidism/Myxoedema,GA3602,31427789,GWASAtlas,10321470,1075357,1004964,30,2.63e-01,2.27e-03
Migraine,GA3603,31427789,GWASAtlas,10318262,1075357,1004122,30,1.50e-01,3.13e-03
Depression,GA3604,31427789,GWASAtlas,10321667,1075357,1004048,29,6.44e-02,5.69e-03
Hayfever/Allergic Rhinitis,GA3605,31427789,GWASAtlas,10321663,1075357,1004436,30,1.01e-01,3.50e-03
Eczema/Dermatitis,GA3606,31427789,GWASAtlas,10314254,1075357,1003465,27,8.63e-02,8.09e-04
Osteoarthritis,GA3607,31427789,GWASAtlas,10321694,1075357,1005573,30,6.25e-02,6.21e-03
High cholesterol,GA3608,31427789,GWASAtlas,10321705,1075357,1006380,30,1.07e-01,2.25e-03
Omega-3/fish oil supplement,GA3609,31427789,GWASAtlas,10284680,1075357,1004206,6,2.35e-02,2.35e-03
Multivitamins,GA3610,31427789,GWASAtlas,10283115,1075357,1003832,5,7.78e-03,1.42e-03
Lisinopril,GA3611,31427789,GWASAtlas,10280566,1075357,1004067,24,1.11e-01,4.36e-03
Ramipril,GA3612,31427789,GWASAtlas,10285805,1075357,1004822,27,7.86e-02,5.01e-03
Simvastatin,GA3613,31427789,GWASAtlas,10286041,1075357,1007162,30,6.16e-02,2.47e-03
Ventolin 100micrograms inhaler,GA3614,31427789,GWASAtlas,10281078,1075357,1003427,30,1.20e-01,1.46e-03
Lansoprazole,GA3615,31427789,GWASAtlas,10284516,1075357,1003896,24,6.11e-02,4.53e-03
Omeprazole,GA3616,31427789,GWASAtlas,10285998,1075357,1003915,27,6.80e-02,7.71e-03
Atenolol,GA3617,31427789,GWASAtlas,10284883,1075357,1004554,29,1.09e-01,4.23e-03
Aspirin,GA3618,31427789,GWASAtlas,10286041,1075357,1007105,29,3.51e-02,4.77e-03
Ibuprofen,GA3619,31427789,GWASAtlas,10286041,1075357,1005820,26,2.83e-02,5.35e-03
Amlodipine,GA3620,31427789,GWASAtlas,10285466,1075357,1004832,30,1.52e-01,4.81e-03
Metformin,GA3621,31427789,GWASAtlas,10280049,1075357,1003906,30,3.21e-01,4.54e-03
Cod liver oil capsule,GA3622,31427789,GWASAtlas,10285962,1075357,1005063,12,3.06e-02,3.41e-03
